userId,numCores,kernel,class,cpu,country,architecture,distribution
597137,4,3.19.0,desktop,AMD Phenom II X4 955,Croatia,x86_64,Linux Mint
411501,2,3.19.0,desktop,unknown,Bolivia,amd64,Ubuntu
411501,2,3.16,desktop,unknown,Bolivia,amd64,Ubuntu
411501,4,3.16,desktop,unknown,Bolivia,amd64,Ubuntu
425085,4,2.6.38,desktop,Mobile Intel Pentium 4 2.30GHz,Italy,x86_64,Kubuntu
424781,8,4.2.5,desktop,AMD Athlon 64 X2 4200+,United States,x86_64,Arch
400557,2,3.19.0,desktop,unknown,Italy,x86_64,Zorin OS
509406,4,4.1.5,desktop,Intel Core i5-4590 Processor 3.70 GHz,Lithuania,x86_64,Arch
510155,2,3.18,desktop,unknown,United States,amd64,PCLinuxOS
62919,1,3.18.12,desktop,Intel Pentium 4 2.80GHz,Netherlands,i686,Gentoo Linux
545408,8,4.1.3,desktop,Intel Core i7-2600K  3.40GHz,Russian Federation,x86_64,Debian
413348,1,3.2.0,desktop,unknown,Ecuador,unknown,Ubuntu
571926,4,3.13.0,desktop,Intel Core i3-550 Processor 3.20 GHz,France,x86_64,Ubuntu
584405,2,3.13.0,desktop,Intel Core2 Duo E6400  2.13GHz,Slovenia,i686,Linux Mint
527213,4,3.16.0,desktop,Icore 5,Mexico,unknown,Debian
586788,2,3.16.0,desktop,unknown,Spain,x86_64,Debian
548111,2,4.2.0,desktop,AMD Athlon 64 X2 Dual Core 5000+,Canada,i686,Xubuntu
586985,4,3.16.7,desktop,Intel Core i5-4460  3.20GHz,Germany,x86_64,openSUSE
587028,4,3.13.0,desktop,AMD Phenom II X4 955,Belgium,amd64,Linux Mint
587078,4,3.13.0,desktop,Intel Core i3-530  2.93GHz,Brazil,x86_64,Ubuntu
587090,1,2.6.32,desktop,AMD64 3500+,France,unknown,Debian
587137,4,3.19.0,desktop,unknown,India,amd64,Ubuntu
587132,2,3.13.0,desktop,Intel Atom,Paraguay,amd64,Ubuntu
587151,4,3.13.0,desktop,unknown,Spain,amd64,Ubuntu
424841,1,3.16.0,desktop,AMD Athlon 64 3200+,Canada,x86_64,Debian
587190,2,3.16.0,desktop,unknown,Spain,x86_64,Linux Mint
587303,1,3.13.0,desktop,Intel Pentium 4 2.80GHz,France,i686,Ubuntu
587317,8,4.0.4,desktop,unknown,Brazil,x86_64,Arch
587424,2,3.10.17,desktop,AMD Athlon 64 X2 5200+,Poland,x86_64,Slackware
587517,unknown,4.0.4,desktop,unknown,Czech Republic,i686,Fedora
587552,2,3.13.0,desktop,unknown,Cuba,amd64,Ubuntu
587614,4,4.4.0,desktop,Intel Core i5-4670  3.40GHz,Germany,x86_64,Manjaro Linux
587641,8,3.16.7,desktop,Intel Core i7-3770K 3.50GHz,Germany,amd64,Debian
587717,2,3.19.0,desktop,unknown,Germany,x86_64,Ubuntu
119,4,2.6.32,desktop,AMD Phenom 9500 Quad-Cor,United States,x86_64,CentOS
4684,4,4.3.6,desktop,Intel Core i5 4400,United States,x86_64,Gentoo Linux
9696,2,2.6.32,desktop,unknown,Hong Kong,x86_64,Debian
70402,4,3.13.0,desktop,Intel Core i3-2100  3.10GHz,Slovenia,amd64,Ubuntu
97730,2,3.2.04,desktop,Intel Pentium Processor T4400 2.20 GHz,Poland,i686,Debian
19907,8,3.19.5,desktop,unknown,Denmark,x86_64,Fedora
151905,8,4.3.3,desktop,Intel Core i7-4770  3.40GHz,Netherlands,x86_64,Fedora
133954,8,3.17.0,desktop,Intel Xeon E3-1230 V2  3.30GHz,Germany,x86_64,Kanotix
50401,1,2.6.27,desktop,AMD Sempron 3000+,Canada,i686,Knoppix
60452,4,3.16,desktop,Intel Core i5-3570K  3.40GHz,Finland,amd64,Debian
151905,8,4.2.5,desktop,Intel Core i7-4770  3.40GHz,Netherlands,x86_64,Fedora
400151,4,3.16.0,desktop,unknown,Spain,amd64,Debian
326419,4,3.13.0,desktop,AMD Phenom II X4 850,Germany,x86_64,Ubuntu
326419,4,3.2.0,desktop,Intel Core i3-530  2.93GHz,Germany,x86_64,Debian
293162,4,3.0.101,desktop,AMD Phenom 9850 Quad-Core,Ukraine,x86_64,ALT Linux
463954,8,3.19.0,desktop,Intel Core i7-860  2.80GHz,France,x86_64,Ubuntu
425729,4,4.1.1,desktop,Intel Core i5-2500 Processor 3.70 GHz,Italy,x86_64,Manjaro Linux
486015,4,4.1.1,desktop,AMD Phenom II X4 965,Germany,x86_64,Gentoo Linux
563539,2,3.13.0,desktop,Intel Pentium 4 3.20GHz,United States,i686,Ubuntu
292320,1,3.2.0,desktop,Intel Pentium 4 2.80GHz,Germany,i686,Ubuntu
460385,4,3.11.10,desktop,Intel Core i5-4670  3.40GHz,Spain,x86_64,openSUSE
461856,4,4.0.7,desktop,AMD Phenom II X4 965,Germany,x86_64,Arch
344141,4,3.10.0,desktop,unknown,Peru,x86_64,CentOS
588719,2,3.16.0,desktop,unknown,Germany,x86_64,Debian
247431,4,3.16.7,desktop,unknown,Germany,x86_64,openSUSE
430808,4,3.13.0,desktop,unknown,Costa Rica,amd64,Linux Mint
368065,8,3.16.0,desktop,unknown,Brazil,amd64,Ubuntu
435740,6,3.13.3,desktop,unknown,Ireland,amd64,Mindi Linux
517111,2,3.16.7,desktop,AMD Athlon 64 X2 Dual-Core TK-42,Italy,amd64,Ubuntu
545349,6,4.4.3,desktop,AMD FX-6300 Six-Core,Netherlands,x86_64,Gentoo Linux
589374,3,3.19.0,desktop,AMD Athlon II X3 445,Spain,x86_64,Ubuntu
374329,2,4.1.6,desktop,AMD Opteron 2350 HE,Poland,x86_64,Fedora
164972,6,3.2.0,desktop,Intel Core i7-2620M  2.70GHz,France,x86_64,Debian
342687,4,4.1.5,desktop,"AMD A10-7850K Radeon R7, 12 Compute Cores 4C 8G",Romania,x86_64,Gentoo Linux
411059,2,3.11.10,desktop,Intel Core2 Duo Processor E8500 3.16 GHz,Spain,x86,openSUSE
364386,4,3.16.0,desktop,Intel Core i5-3470  3.20GHz,Bangladesh,i686,Ubuntu
491805,8,4.2.0,desktop,AMD FX-8350 Eight-Core,Argentina,x86_64,Gentoo Linux
436537,4,3.16.0,desktop,AMD FX-4100 Zambezi Quad-Core 3.6GHz ,Brazil,x86_64,Ubuntu
321488,4,3.13.0,desktop,unknown,Bahrain,amd64,Ubuntu
269312,4,3.16.0,desktop,unknown,United States,amd64,Linux Mint
590510,8,3.2.04,desktop,i7-2600 Intel,Netherlands,amd64,CrunchBang Linux
590547,4,3.16.0,desktop,Intel Core i5-2500K  3.30GHz,Netherlands,x86_64,Linux Mint
159678,2,3.16.7,desktop,AMD Athlon 64 X2 3000+,Germany,amd64,Debian
311527,4,3.13.0,desktop,unknown,Uruguay,x86_64,Ubuntu
590607,2,3.16.0,desktop,AMD Athlon 64 X2 Dual-Core TK-42,Uruguay,amd64,elementary OS
351162,unknown,3.13.0,desktop,P IV,Poland,x86,Xubuntu
484085,1,4.0.5,desktop,Pentium III Coppermine,United States,i686,Gentoo Linux
564060,unknown,3.16.7,desktop,Intel 2.4GHz,Italy,amd64,Ubuntu
566101,2,3.10.17,desktop,Intel Core2 Duo E7500  2.93GHz,Mauritius,x86_64,Slackware
566101,2,3.10.17,desktop,AMD 64 Athlon X2 Dual-Core Processor TK-57,Mauritius,x86_64,Slackware
590940,6,4.2.0,desktop,AMD FX-6300 Six-Core,Germany,x86_64,Ubuntu
591107,6,4.0.2,desktop,unknown,United Kingdom,amd64,Debian
401352,2,3.0.92,desktop,AMD Athlon 64 3000+,Venezuela,amd64,Debian
591601,unknown,4.2.3,desktop,i5-4200U,Russian Federation,x86_64,Debian
591646,2,4.2.0,desktop,unknown,Republic Of Moldova,amd64,Ubuntu
591933,4,4.1.12,desktop,Intel Core i3-4150  3.50GHz,Colombia,x86_64,openSUSE
457271,8,4.2.0,desktop,unknown,Spain,x86_64,Ubuntu
592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,BunsenLabs
592655,2,4.2.0,desktop,unknown,Japan,i686,Ubuntu
592655,1,4.3.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Ubuntu
592655,1,4.3.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Ubuntu
592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Linux Mint
592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Linux Mint
592655,1,3.13.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Ubuntu
592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Bodhi
592655,1,3.13.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Zorin OS
592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,elementary OS
592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Debian
592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Linux Mint
592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,SolydXK
592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,SolydXK
592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Fedora
592655,1,4.3.0,desktop,Intel Celeron 600MHz,Japan,x86_64,openSUSE
592655,1,4.1.12,desktop,Intel Celeron 600MHz,Japan,x86_64,openSUSE
592655,1,4.1.13,desktop,Intel Celeron 600MHz,Japan,x86_64,Mageia
592655,1,4.1.13,desktop,Intel Celeron 600MHz,Japan,x86_64,Vine Linux
592655,1,3.14.20,desktop,Intel Celeron 600MHz,Japan,i686,Puppy Linux
592655,1,3.2.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Debian
592655,1,3.4.108,desktop,Intel Celeron 2.80GHz,Japan,i686,Vine Linux
592655,1,3.19.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Xubuntu
592655,1,3.16.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Linux Mint
592655,1,3.13.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Ubuntu
592655,1,3.16.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Bodhi
592655,1,3.13.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Zorin OS
592655,1,3.16.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Debian
592655,1,4.1.12,desktop,Intel Celeron 2.80GHz,Japan,i686,Vine Linux
592655,1,3.14.20,desktop,Intel Celeron 2.80GHz,Japan,i686,Puppy Linux
369594,8,4.1.13,desktop,AMD FX-8350 Eight-Core,United States,amd64,Netrunner
592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,SparkyLinux
592743,4,4.2.0,desktop,unknown,Russian Federation,amd64,Ubuntu
592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Debian
592655,1,3.16.0,desktop,Intel Celeron 2.80GHz,Japan,i686,Debian
402602,4,4.3.0,desktop,AMD Phenom 9950 Quad-Core,Argentina,x86_64,Debian
593911,unknown,4.3.3,desktop,Intel Core i5-3470 Processor 3.60 GHz,Germany,x86_64,Arch
593930,4,3.16.0,desktop,AMD Phenom II X4 945,Colombia,amd64,Debian
592655,1,3.4.110,desktop,Intel Celeron 600MHz,Japan,x86_64,Vine Linux
592655,1,3.16.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Linux Mint
592655,1,3.19.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Ubuntu
456486,4,4.0.1,desktop,Intel 2 Core Quad Q8200,Brazil,amd64,Debian
416358,8,3.19.0,desktop,Intel Core i7-920  2.67GHz,Spain,x86_64,Ubuntu
222947,unknown,3.19.0,desktop,Intel Pentium 4 3.20GHz,Poland,amd64,Linux Mint
594679,4,4.2.5,desktop,"AMD A10-7850K Radeon R7, 12 Compute Cores 4C 8G",Poland,x86_64,Arch
592655,1,4.0.5,desktop,Intel Celeron 2.80GHz,Japan,i686,Debian
592655,1,3.16.0,desktop,Intel Celeron 2.80GHz,Japan,i686,BunsenLabs
219810,4,3.16.0,desktop,AMD Athlon 64 4000+,France,x86_64,Debian
219810,2,3.2.73,desktop,64x2 Dual core Processor 3800+,France,amd64,Debian
595517,4,4.1.7,desktop,unknown,Germany,x86_64,Arch
595878,2,3.10.17,desktop,Intel Core2 Duo E6550  2.33GHz,United Kingdom,x86_64,Slackware
297494,4,3.0.16,desktop,unknown,Italy,amd64,Ubuntu
593732,1,3.13.0,desktop,AMD Sempron 2600+,Spain,i686,Guadalinex
470495,8,4.4.0,desktop,AMD FX-8150 Eight-Core,Germany,x86_64,openSUSE
592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,CentOS
592655,1,4.2.0,desktop,Intel Celeron 600MHz,Japan,x86_64,Scientific Linux
427104,4,4.4.1,desktop,AMD Phenom 9600 Quad-Core,Canada,x86_64,Antergos
597721,4,4.4.3,desktop,Intel Core i3-2120 3.3 GHz,Poland,x86_64,Antergos
3759,1,2.6.32,embedded,MIPS 24Kc V7.4,United States,mips,OpenWrt
13687,2,3.10.17,embedded,unknown,Germany,x86_64,Slackware
59331,1,2.6.33,embedded,unknown,United States,arm,Debian
68277,4,4.1.17,embedded,ARMv7-compatible processor rev 5,United States,arm,Raspbian GNU/Linux
153198,4,3.5.0,embedded,Intel Atom 330  1.60GHz,Brazil,i686,Ubuntu
71028,1,2.6.32,embedded,MIPS 24Kc V7.4,Poland,mips,OpenWrt
241373,1,2.6.32,embedded,AMD Geode LX800,Germany,i486,Debian
68277,1,4.1.17,embedded,ARMv6-compatible processor rev 7 ,United States,arm,Raspbian GNU/Linux
52541,1,3.2.0,embedded,AMD Geode LX 500 MHz,United States,i586,Debian
214808,1,2.6.30,embedded,1.2 GHz ARM Marvell Kirkwood 88F6281 (ARM9E),Belgium,unknown,unknown
279656,1,2.4.35,embedded,Broadcom BCM4712,Australia,mips,OpenWrt
241373,1,3.2.0,embedded,Intel Atom Z530  1.60GHz,Germany,i686,Debian
202694,1,2.4.37,embedded,Broadcom BCM5352,Spain,mips,other
307373,1,3.3.8,embedded,Broadcom BCM4704,Czech Republic,mips,OpenWrt
248465,4,3.16.0,embedded,Intel Atom 330  1.60GHz,Austria,x86_64,Debian
40776,1,2.6.31,embedded,unknown,United Kingdom,i686,Gentoo Linux
322908,4,2.6.38,embedded,Intel Atom 330  1.60GHz,France,i386,Kubuntu
268074,1,2.6.18,embedded,unknown,Germany,i686,unknown
147120,1,2.6.32,embedded,Marvell XScale-IXP42x rev 1,United Kingdom,arm,Debian
375691,2,2.6.40,embedded,Intel Pentium Processor E2200 2.20 GHz,Bulgaria,unknown,Fedora
303334,1,2.6.32,embedded,AMD Geode LX 500 MHz,Germany,i586,Ubuntu
193191,1,3.2.0,embedded,unknown,Netherlands,unknown,Debian
328154,1,2.4.35,embedded,Broadcom BCM947XX,Germany,unknown,wrt54g-linux
164946,1,3.2.0,embedded,Intel Atom D525  1.80GHz,Spain,i386,Debian
387200,0,2.6.25,embedded,unknown,Germany,ppc,Debian
387475,1,3.10.17,embedded,Marvell Kirkwood 88F6281 1.2 GHz,France,arm,Slackware
356153,1,3.9.9,embedded,AMD Geode LX 500 MHz,Austria,i586,Gentoo Linux
141854,1,2.4.37,embedded,Broadcom BCM3302 V0.8,Austria,mips,other
440405,1,2.6.32,embedded,Feroceon 88FR131,Italy,arm,Debian
248454,1,2.4.35,embedded,Broadcom BCM3302 ,Germany,mips,OpenWrt
209590,1,3.0.0,embedded,AMD Geode LX800,United States,x86,Voyage Linux
343217,1,2.6.25,embedded,Broadcom BCM3302 ,Germany,mips,OpenWrt
132686,2,3.2.68,embedded,VIA C7 1500MHz,United Kingdom,amd64,Debian
222078,1,2.4.35,embedded,Broadcom BCM3302 ,Germany,mips,other
276908,1,2.6.35,embedded,Intel Celeron M 1.60GHz,Germany,i686,Gentoo Linux
9247,1,3.16.0,embedded,AMD Geode LX 500 MHz,Netherlands,i586,Debian
399603,1,2.6.32,embedded,Broadcom BCM3302 ,Poland,mips,OpenWrt
122586,8,2.6.30,embedded,Dual-Core AMD Opteron(tm) Processor 8220,Bulgaria,x86_64,Slamd64
335761,1,3.2.0,embedded,Marvell XScale-IXP42x rev 1,United States,arm,Debian
22534,0,3.2.0,embedded,unknown,Germany,arm,Debian
29280,1,2.6.22,embedded,AMD Geode LX 500 MHz,Canada,i586,Ubuntu
130099,1,2.6.37,embedded,Intel Celeron 2.66GHz,Finland,i686,Debian
377452,1,2.6.26,embedded,AMD Geode LX 500 MHz,Denmark,i586,Debian
78406,4,3.18.6,embedded,Broadcom BCM2709,Germany,arm,other
13687,1,2.6.22,embedded,AMD Geode LX 500 MHz,Germany,i586,Slackware
451419,1,2.6.30,embedded,MarvellÂ® Sheeva Core Embedded CPU,Germany,unknown,Debian
230727,4,2.6.35,embedded,Intel Atom Processor D510 1.66 GHz,Netherlands,i686,Fedora
379269,1,2.6.32,embedded,MarvellÂ® Sheeva Core Embedded CPU,Denmark,arm,Debian
289603,1,2.6.35,embedded,AMD Geode LX 500 MHz,Russian Federation,i586,Gentoo Linux
476610,1,2.6.12,embedded,Marvell 88F5181,Russian Federation,arm,MontaVista Linux
176643,1,2.6.32,embedded,unknown,France,i686,Debian
275430,1,2.6.32,embedded,Marvell XScale-IXP42x rev 2,Netherlands,arm,Debian
376982,1,2.4.35,embedded,Broadcom BCM3302 V0.7,Canada,mips,OpenWrt
503232,4,2.6.18,embedded,unknown,Germany,i686,Red Hat
301202,1,2.6.28,embedded,Intel Atom 330  1.60GHz,Germany,x86,Gentoo Linux
71873,0,2.6.26,embedded,unknown,Germany,arm,Debian
373951,1,2.6.38,embedded,Marvell Kirkwood 88F6281 1.2 GHz,United States,unknown,Slackware
382510,4,2.6.32,embedded,Intel Atom Processor D510 1.66 GHz,Switzerland,i686,IPFire
80283,1,2.6.25,embedded,Broadcom BCM3302 V0.6,Poland,mips,OpenWrt
75596,1,2.6.32,embedded,Cortex A8 600 MHz,Italy,arm,Ubuntu
367577,1,2.6.32,embedded,VIA C7-D 1500MHz,United States,i686,Scientific Linux
355327,0,2.6.34,embedded,unknown,Argentina,mips,Debian
70421,1,2.6.32,embedded,AMD Geode LX 500 MHz,Netherlands,i586,OpenWrt
51278,1,2.6.32,embedded,Marvell Kirkwood 88F6281 1.2 GHz,France,arm,Debian
107848,1,2.6.32,embedded,AMD Geode LX 500 MHz,Norway,i586,Ubuntu
392407,1,3.17.7,embedded,AMD Geode LX 500 MHz,Canada,i586,Gentoo Linux
243242,1,3.2.18,embedded,ARMv6-compatible processor rev 7 ,Hungary,arm,Ubuntu
457684,1,2.8.31,embedded,AMD Athlon II Neo K125,Germany,x86,Ubuntu
487815,1,2.4.17,embedded,MIPS 4KEc V4.8,United States,mips,MontaVista Linux
457615,1,2.6.32,embedded,Atheros AR7161 MIPS 24Kc V4.12,Italy,mips,OpenWrt
75596,1,2.6.32,embedded,Cortex A8 1000 MHz,Italy,arm,Ubuntu
92287,1,2.6.32,embedded,1.2GHz Kirkwood 88F6281 processor,Germany,unknown,Debian
